60;185;0
0;125;16
34;306;100
0;260;0
0;90;0
0;182;128
15;300;65
0;230;170
131;197;326
30;295;60
103;302;298
15;595;350
0;170;170
110;375;205
128;305;325
205;303;312
151;294;300
0;200;409
0;190;161
80;290;200
0;310;300
0;181;134
7;183;202
0;204;254
39;300;569
0;420;300
110;234;0
X
96;181;212
0;298;130
0;90;66
68;126;91
59;295;186
145;298;127
0;295;178
125;300;121
0;318;22
97;176;80
0;285;7
72;298;20
22;303;130
0;287;300
0;244;300
0;177;204
24;69;0
0;180;190
0;291;0
0;302;286
0;282;47
168;299;124
4;301;106
30;278;192
100;294;39
133;116;55
16;141;54
89;298;313
7;302;29
0;317;172
7;180;95
90;236;229
4;303;583
86;301;128
0;273;382
30;125;35
0;296;604
109;289;252
X
119;300;166
0;184;216
0;437;250
125;319;411
0;180;358
36;169;540
20;296;300
16;296;198
99;117;165
0;123;62
X
96;214;200
0;275;120
32;302;346
55;300;300
73;297;400
55;300;300
68;306;47
60;298;182
112;300;300
20;119;112
11;303;230
32;315;300
193;299;302
108;239;300
31;314;82
162;300;299
106;296;334
94;299;347
8;298;244
20;338;262
142;300;258
21;289;245
18;300;482
80;302;58
X
83;300;88
117;300;300
104;310;300
68;301;231
86;300;300
